lb	mle	ub	ce	Z	cZ
Lman1	-0.0791500212985904	1.58300042597182	3.44302592648871	0	1.88557054554549	0.655373567122259
r_Lx2B	-2.88897577739858	-1.42470038337464	0.0395750106492967	0	-1.88526069456938	-0.655307747775269
1700001L05Rik	-3.5617509584366	-2.01832554311408	0.0791500212985904	0	-1.88442834275654	-0.654400465653553
6720456H20Rik	-0.0791500212985904	1.46427539402394	3.16600085194365	0	1.88421003281739	0.654400465653553
Vps37d	-4.19495112882532	-2.6911007241521	0.118725031947887	0	-1.88367023744007	-0.654400465653553
1190002N15Rik	-0.0791500212985904	1.8204504898676	3.79920102233238	0	1.8836495909935	0.654400465653553
Ccdc88a	-0.0791500212985904	1.42470038337464	2.92855078804787	0	1.88339357475519	0.654400465653553
Gas7	-3.04727581999576	-1.54342541532253	0.0395750106492967	0	-1.88299003140769	-0.654163878167527
Rab27a	-3.75962601168309	-2.09747556441266	0.0791500212985904	0	-1.88251676832733	-0.653801030822332
Cst3	-0.0791500212985904	1.50385040467323	3.16600085194365	0	1.8821648667694	0.653657350123951
Eri3	-0.0791500212985904	1.34555036207605	2.96812579869717	0	1.88178158888659	0.653456722752216
Rps12	-2.49322567090562	-1.22682533012817	0.0395750106492967	0	-1.88124792201687	-0.652984013406095
Gdpd1	-0.118725031947887	1.93917552181549	4.03665108622817	0	1.88038895601678	0.651922881462561
Rnf150	-0.0791500212985904	1.50385040467323	3.28472588389153	0	1.87974884557369	0.651826362107834
Ptprv	-4.551126224669	-2.61195070285351	0.0791500212985904	0	-1.87941208736162	-0.651826362107834
Kdelr1	-0.0791500212985904	1.26640034077746	2.65152571350281	0	1.87905060051992	0.651826362107834
Fam107b	-0.0791500212985904	1.42470038337464	3.08685083064506	0	1.8788193069378	0.651826362107834
Mbnl3	-0.0791500212985904	1.7808754792183	3.83877603298168	0	1.87866684335416	0.651826362107834
Slc10a3	-0.0791500212985904	1.42470038337464	3.12642584129435	0	1.8785370842568	0.651826362107834
r_(CATTC)n	-3.16600085194365	-1.54342541532253	0.0395750106492967	0	-1.87843467731469	-0.651826362107834
Calb2	-5.22390140570702	-3.36387590519011	0.237450063895775	0	-1.87798134022814	-0.651627338147955
r_(CTGTG)n	-5.34262643765491	-3.44302592648871	0.197875053246478	0	-1.87775557756572	-0.651627338147955
Daam1	-0.118725031947887	1.86002550051689	4.07622609687746	0	1.87747453237561	0.651627338147955
Itm2a	-0.118725031947887	1.86002550051689	3.68047599038449	0	1.87724130801921	0.651627338147955
Rcan2	-0.0791500212985904	1.50385040467323	3.24515087324224	0	1.87676136754919	0.651392480568056
Setmar	-0.118725031947887	2.13705057506196	3.44302592648871	0	1.87657048271372	0.651392480568056
E430025E21Rik	-0.0791500212985904	1.34555036207605	2.84940076674929	0	1.87544812295489	0.650781574073124
r_L1MA5A	-2.96812579869717	-1.42470038337464	0.0395750106492967	0	-1.87532291395843	-0.650781574073124
Pla2g6	-2.96812579869717	-1.46427539402394	0.0395750106492967	0	-1.87512044953547	-0.650781574073124
2700094K13Rik	-2.77025074545069	-1.34555036207605	0.0395750106492967	0	-1.87469852183527	-0.650781574073124
Zfp652	-0.118725031947887	2.09747556441266	3.5617509584366	0	1.87464559973634	0.650781574073124
Clptm1l	-0.0791500212985904	1.42470038337464	3.16600085194365	0	1.87461291214822	0.650781574073124
Patl2	-3.482600937138	-1.74130046856901	0.0791500212985904	0	-1.87390067927134	-0.649982021944471
Colec10	-3.95750106492957	-2.49322567090562	0.0791500212985904	0	-1.87358009807407	-0.649944245564437
Zfp442	-0.118725031947887	1.86002550051689	3.482600937138	0	1.87329501711791	0.649944245564437
Angptl2	-0.0791500212985904	1.54342541532253	3.32430089454081	0	1.87269226791656	0.649944245564437
Arhgap19	-3.5221759477873	-1.74130046856901	0.0791500212985904	0	-1.87261042863606	-0.649944245564437
Slc25a13	-3.08685083064506	-1.50385040467323	0.0395750106492967	0	-1.87253445039782	-0.649944245564437
Nagpa	-0.118725031947887	1.74130046856901	3.68047599038449	0	1.87219059835201	0.649808527930758
r_(ATG)n	-0.0791500212985904	1.58300042597182	3.482600937138	0	1.87186369454945	0.649703175740544
Wnt5a	-0.0791500212985904	1.30597535142675	2.88897577739858	0	1.87155555665129	0.64963146371334
Ddx55	-3.482600937138	-1.74130046856901	0.0791500212985904	0	-1.87097978295614	-0.649225883589014
C130074G19Rik	-3.83877603298168	-2.13705057506196	0.0791500212985904	0	-1.87057654432501	-0.649225883589014
Rhot1	-0.0791500212985904	1.38512537272535	2.92855078804787	0	1.87052635748823	0.649225883589014
Mknk2	-0.0791500212985904	1.38512537272535	3.24515087324224	0	1.86923113241596	0.647977478209665
9330182L06Rik	-3.75962601168309	-2.09747556441266	0.0791500212985904	0	-1.86891091746553	-0.647977478209665
Wdr86	-3.6013259690859	-2.13705057506196	0.0791500212985904	0	-1.86866027134876	-0.647977478209665
Klf6	-0.0791500212985904	1.34555036207605	3.04727581999576	0	1.86844021362763	0.647977478209665
Klhdc2	-0.0791500212985904	1.54342541532253	3.482600937138	0	1.86843498746596	0.647977478209665
Ctbp1	-0.0791500212985904	1.18725031947887	2.7306757348014	0	1.86777853749792	0.647977478209665
Manbal	-0.0791500212985904	1.42470038337464	3.04727581999576	0	1.86747807615736	0.647977478209665
Serpine1	-0.118725031947887	2.01832554311408	4.4719762033704	0	1.86714665229339	0.647977478209665
Rfwd3	-3.08685083064506	-1.42470038337464	0.0395750106492967	0	-1.86697729572164	-0.647977478209665
Appl2	-0.0791500212985904	1.54342541532253	3.16600085194365	0	1.86696837729164	0.647977478209665
r_tRNA-Leu-CTG	-4.03665108622817	-2.45365066025633	0.118725031947887	0	-1.86669896049099	-0.647977478209665
Srp54b	-0.0791500212985904	1.30597535142675	2.65152571350281	0	1.8666279296901	0.647977478209665
Ovol2	-3.95750106492957	-2.45365066025633	0.118725031947887	0	-1.86552984967612	-0.646477620449899
Ndufa9	-0.0791500212985904	1.50385040467323	3.32430089454081	0	1.86434228573384	0.645835481185172
2410006H16Rik	-2.61195070285351	-1.26640034077746	0.0395750106492967	0	-1.86395698052161	-0.645835481185172
AA465934	-3.95750106492957	-1.86002550051689	0.0791500212985904	0	-1.86310552419137	-0.645835481185172
Ikzf2	-0.118725031947887	1.58300042597182	3.482600937138	0	1.8630809005705	0.645835481185172
Bard1	-3.75962601168309	-1.70172545791971	0.0791500212985904	0	-1.86283514840711	-0.645835481185172
Snora28	-3.72005100103379	-1.97875053246478	0.0791500212985904	0	-1.86281841263874	-0.645835481185172
Arf6	-0.0791500212985904	1.34555036207605	2.84940076674929	0	1.86275521360877	0.645835481185172
Zfp397	-0.118725031947887	1.58300042597182	3.36387590519011	0	1.8625886098598	0.645835481185172
Sec31a	-0.0791500212985904	1.34555036207605	2.7306757348014	0	1.8623326981507	0.645835481185172
Ier5	-0.0791500212985904	1.42470038337464	3.00770080934646	0	1.8622653988606	0.645835481185172
r_Tigger15a	-0.118725031947887	1.86002550051689	3.40345091583941	0	1.86215590506248	0.645835481185172
Cdhr1	-0.118725031947887	2.05790055376337	3.36387590519011	0	1.8619863819604	0.645835481185172
Col1a1	-0.118725031947887	1.8204504898676	4.31367616077322	0	1.86098495118531	0.645611168051195
Iqsec1	-0.0791500212985904	1.26640034077746	2.92855078804787	0	1.86077105184408	0.645611168051195
Usp35	-0.118725031947887	1.97875053246478	3.5221759477873	0	1.85988451404577	0.645611168051195
Fst	-0.118725031947887	1.74130046856901	4.03665108622817	0	1.85973203819342	0.645611168051195
Kank4	-3.482600937138	-2.05790055376337	0.118725031947887	0	-1.85949842652672	-0.645611168051195
Paqr7	-0.118725031947887	2.09747556441266	3.5221759477873	0	1.85933354840239	0.645611168051195
Lsm5	-3.16600085194365	-1.54342541532253	0.0791500212985904	0	-1.8588626345678	-0.645611168051195
Egfl7	-3.91792605428027	-1.86002550051689	0.0791500212985904	0	-1.85871288974304	-0.645611168051195
Map3k7	-0.0791500212985904	1.38512537272535	2.84940076674929	0	1.85833050324674	0.645611168051195
Uba3	-0.0791500212985904	1.30597535142675	2.80982575609999	0	1.85819941090005	0.645611168051195
Pex3	-0.118725031947887	2.05790055376337	3.99707607557887	0	1.85819451078563	0.645611168051195
Rab13	-0.118725031947887	1.58300042597182	3.20557586259294	0	1.85812642810267	0.645611168051195
Rps19	-0.0791500212985904	1.18725031947887	2.41407564960703	0	1.85797339534926	0.645611168051195
Mapk1ip1l	-0.0791500212985904	1.18725031947887	2.49322567090562	0	1.85781765585272	0.645611168051195
Polh	-4.11580110752673	-2.01832554311408	0.118725031947887	0	-1.8577243348827	-0.645611168051195
Nfat5	-0.118725031947887	1.62257543662112	3.44302592648871	0	1.85764087926387	0.645611168051195
Atf5	-0.0791500212985904	1.38512537272535	3.04727581999576	0	1.85646914475847	0.64415698342672
Dos	-0.118725031947887	1.50385040467323	3.44302592648871	0	1.85630741696852	0.64415698342672
Dctn1	-0.0791500212985904	1.38512537272535	2.96812579869717	0	1.85584811347911	0.643802850011914
Socs5	-0.118725031947887	1.50385040467323	3.36387590519011	0	1.85542016058993	0.643504941537149
Brix1	-2.84940076674929	-1.38512537272535	0.0791500212985904	0	-1.85408890965953	-0.641580376240733
r_L2c	-0.0791500212985904	1.34555036207605	3.12642584129435	0	1.85272950083656	0.641351129319133
Casc1	-3.5221759477873	-2.01832554311408	0.118725031947887	0	-1.85262458446042	-0.641351129319133
Fbln1	-0.158300042597181	1.97875053246478	3.75962601168309	0	1.85245769138376	0.641351129319133
r_MYSERV16_I-int	-3.00770080934646	-1.46427539402394	0.0791500212985904	0	-1.85240487551986	-0.641351129319133
Kif20b	-3.28472588389154	-1.46427539402394	0.0791500212985904	0	-1.85219416624859	-0.641351129319133
2610101N10Rik	-3.72005100103379	-1.8204504898676	0.0791500212985904	0	-1.85163184465349	-0.641351129319133
Plaur	-0.118725031947887	1.50385040467323	3.36387590519011	0	1.85123968354244	0.641351129319133
Mrs2	-0.118725031947887	1.70172545791971	3.79920102233238	0	1.85119069201	0.641351129319133
Ccdc138	-3.75962601168309	-1.97875053246478	0.118725031947887	0	-1.85102786493729	-0.641351129319133
Ttll11	-0.118725031947887	1.89960051116619	3.72005100103379	0	1.85099601976785	0.641351129319133
Nek6	-0.118725031947887	1.62257543662112	4.31367616077322	0	1.85076197969051	0.641351129319133
Pold1	-3.482600937138	-1.74130046856901	0.0791500212985904	0	-1.84992717103422	-0.641351129319133
Tmem154	-0.158300042597181	2.01832554311408	3.36387590519011	0	1.84949279754518	0.641351129319133
Tmem50a	-0.0791500212985904	1.30597535142675	3.00770080934646	0	1.84933039999159	0.641351129319133
Ttn	-3.72005100103379	-2.05790055376337	0.118725031947887	0	-1.84917502647162	-0.641351129319133
Slco3a1	-0.118725031947887	1.42470038337464	3.16600085194365	0	1.84901102259026	0.641351129319133
Morn4	-3.40345091583941	-1.54342541532253	0.0791500212985904	0	-1.84892728109596	-0.641351129319133
Nfix	-0.118725031947887	1.50385040467323	3.20557586259294	0	1.8487217485689	0.641351129319133
2610002D18Rik	-3.99707607557887	-1.93917552181549	0.0791500212985904	0	-1.84856486178061	-0.641351129319133
Hcfc1r1	-0.0791500212985904	1.22682533012817	2.61195070285351	0	1.84853735322145	0.641351129319133
Prpf3	-0.118725031947887	1.54342541532253	3.64090097973519	0	1.84838597732864	0.641351129319133
r_Lx3A	-2.65152571350281	-1.26640034077746	0.0395750106492967	0	-1.8482083588507	-0.641351129319133
Ndrg4	-0.118725031947887	1.50385040467323	3.36387590519011	0	1.84796025910888	0.641351129319133
5033414D02Rik	-0.118725031947887	1.54342541532253	3.32430089454081	0	1.8472314993491	0.640507644003282
r_ORR1A0	-3.12642584129435	-1.54342541532253	0.0791500212985904	0	-1.84687044889546	-0.640324846695084
Traf4	-0.118725031947887	1.34555036207605	2.88897577739858	0	1.8463100919736	0.639783597411686
Itgb5	-0.118725031947887	1.58300042597182	3.24515087324224	0	1.84604885356067	0.639779825919485
Rab38	-4.5115512140197	-2.45365066025633	0.237450063895775	0	-1.84526724146221	-0.639056008812252
Secisbp2l	-0.118725031947887	1.42470038337464	3.12642584129435	0	1.84512822648857	0.639056008812252
Vapa	-0.0791500212985904	1.22682533012817	2.57237569220421	0	1.84432801649125	0.638505214939931
Zbtb1	-0.118725031947887	1.46427539402394	3.44302592648871	0	1.84401341116023	0.638505214939931
Pif1	-4.27410115012392	-2.05790055376337	0.118725031947887	0	-1.84398343891278	-0.638505214939931
Bfar	-0.118725031947887	1.42470038337464	3.00770080934646	0	1.84378722790556	0.638505214939931
Atp6v1a	-0.118725031947887	1.26640034077746	2.6911007241521	0	1.84284057432047	0.638409470044297
Cks2	-3.5617509584366	-1.70172545791971	0.0791500212985904	0	-1.8428310137171	-0.638409470044297
Thsd7a	-0.118725031947887	1.70172545791971	3.79920102233238	0	1.84280235119888	0.638409470044297
Copa	-0.118725031947887	1.26640034077746	2.6911007241521	0	1.84239405677197	0.638409470044297
BC003331	-0.118725031947887	1.30597535142675	2.88897577739858	0	1.84227246075923	0.638409470044297
Cpne3	-0.0791500212985904	1.22682533012817	2.65152571350281	0	1.84207660818401	0.638409470044297
Pramef12	-4.35325117142251	-2.7306757348014	0.158300042597181	0	-1.84192806230838	-0.638409470044297
Arpc5	-0.0791500212985904	1.22682533012817	2.65152571350281	0	1.8412791030561	0.637706362783805
X99384	-4.39282618207181	-2.21620059636055	0.158300042597181	0	-1.84048468198166	-0.636741629773574
Hnrnph2	-0.118725031947887	1.30597535142675	2.88897577739858	0	1.84018099100022	0.636658360386104
Ywhaz	-0.118725031947887	1.26640034077746	2.65152571350281	0	1.8393422621713	0.635613466971521
Rassf1	-0.118725031947887	1.42470038337464	3.24515087324224	0	1.83902264517417	0.635501232932959
Gins2	-2.96812579869717	-1.46427539402394	0.0791500212985904	0	-1.83815468243536	-0.634737583029569
Lrrfip2	-0.118725031947887	1.30597535142675	2.80982575609999	0	1.8380693718233	0.634737583029569
Golga7	-0.0791500212985904	1.18725031947887	2.57237569220421	0	1.83762026526822	0.634737583029569
Klhl25	-0.118725031947887	1.70172545791971	3.40345091583941	0	1.83728804578107	0.634737583029569
Ppp4r1l-ps	-0.158300042597181	1.97875053246478	3.16600085194365	0	1.83705759039568	0.634737583029569
Fgl2	-0.158300042597181	2.05790055376337	3.36387590519011	0	1.83705705181918	0.634737583029569
Bace1	-0.118725031947887	1.30597535142675	3.00770080934646	0	1.83608727700495	0.633455685177829
Raver2	-3.5617509584366	-1.89960051116619	0.118725031947887	0	-1.83579976683876	-0.633399625631857
Ptp4a3	-0.118725031947887	1.34555036207605	2.84940076674929	0	1.83531471010054	0.633175337552062
Pigk	-0.118725031947887	1.30597535142675	2.77025074545069	0	1.83516266839625	0.633175337552062
Uhrf2	-0.118725031947887	1.42470038337464	3.16600085194365	0	1.83417448031965	0.632457153743975
r_ORR1E-int	-3.16600085194365	-1.46427539402394	0.0791500212985904	0	-1.83401703185618	-0.632457153743975
Gstk1	-0.158300042597181	2.05790055376337	3.44302592648871	0	1.83399538534166	0.632457153743975
Xpr1	-0.118725031947887	1.58300042597182	3.482600937138	0	1.83282384510886	0.630811013361074
Dusp28	-0.158300042597181	1.8204504898676	3.482600937138	0	1.83184160818955	0.629504442469382
Lag3	-4.78857628856478	-3.08685083064506	0.237450063895775	0	-1.83131631504386	-0.629019327490641
Ciz1	-0.158300042597181	1.97875053246478	3.482600937138	0	1.83089197808882	0.628715610938366
Prpf4b	-0.118725031947887	1.26640034077746	2.61195070285351	0	1.83055631267139	0.62857120592026
Mysm1	-3.20557586259294	-1.74130046856901	0.118725031947887	0	-1.82927787305493	-0.62673032398589
Tspan6	-0.118725031947887	1.38512537272535	2.96812579869717	0	1.82819690741054	0.626395200144012
Ubash3a	-3.83877603298168	-2.13705057506196	0.118725031947887	0	-1.8281771606197	-0.626395200144012
Fam158a	-0.158300042597181	1.89960051116619	3.6013259690859	0	1.82811509736644	0.626395200144012
Trmt12	-3.5617509584366	-1.89960051116619	0.118725031947887	0	-1.82781688066512	-0.626395200144012
Magi3	-0.118725031947887	1.62257543662112	3.64090097973519	0	1.82781651577512	0.626395200144012
Sorcs2	-0.118725031947887	1.62257543662112	3.5221759477873	0	1.8271124284482	0.625586589509766
Zfp869	-0.118725031947887	1.46427539402394	3.28472588389153	0	1.82656834013019	0.625247778698766
Tm4sf1	-0.158300042597181	1.97875053246478	4.4719762033704	0	1.82630289834328	0.625247778698766
2810002N01Rik	-3.04727581999576	-1.46427539402394	0.0791500212985904	0	-1.82570909432658	-0.625247778698766
Myo7a	-0.158300042597181	1.89960051116619	3.64090097973519	0	1.82569564327339	0.625247778698766
Nab1	-0.118725031947887	1.30597535142675	2.96812579869717	0	1.82565223025646	0.625247778698766
Tgfb2	-0.158300042597181	1.8204504898676	3.99707607557887	0	1.82467704213666	0.624677463371502
r_ORR1D1	-2.77025074545069	-1.30597535142675	0.0791500212985904	0	-1.82463812934144	-0.624677463371502
Mmd	-0.158300042597181	1.7808754792183	3.75962601168309	0	1.82418540832338	0.624677463371502
3110039M20Rik	-0.158300042597181	2.05790055376337	3.40345091583941	0	1.82417373585911	0.624677463371502
Mapk9	-0.118725031947887	1.34555036207605	2.84940076674929	0	1.82393966767427	0.624677463371502
Maged2	-0.118725031947887	1.30597535142675	2.77025074545069	0	1.82331718144513	0.624677463371502
Tcp11l2	-0.158300042597181	1.74130046856901	3.40345091583941	0	1.82294710890771	0.624677463371502
Mrpl33	-0.118725031947887	1.22682533012817	2.61195070285351	0	1.82277213635032	0.624677463371502
Phlda3	-0.118725031947887	1.22682533012817	2.65152571350281	0	1.82266929854096	0.624677463371502
Tdrd5	-3.5617509584366	-1.97875053246478	0.118725031947887	0	-1.82257047032643	-0.624677463371502
Phf8	-0.158300042597181	1.74130046856901	3.72005100103379	0	1.82246101674127	0.624677463371502
Mpv17l	-3.28472588389154	-1.58300042597182	0.118725031947887	0	-1.8222941945806	-0.624677463371502
Arhgef9	-0.158300042597181	1.89960051116619	3.64090097973519	0	1.82007114132078	0.621450175748563
Dhdpsl	-0.197875053246478	2.09747556441266	3.5221759477873	0	1.81999396882916	0.621450175748563
Btnl6	-4.07622609687743	-2.61195070285351	0.237450063895775	0	-1.81958819498524	-0.621174634183302
Lrp11	-3.64090097973519	-1.70172545791971	0.118725031947887	0	-1.81899618281825	-0.620563831487039
Fam113b	-4.31367616077322	-2.77025074545069	0.237450063895775	0	-1.81744837206952	-0.618232206024441
Pafah1b3	-2.84940076674929	-1.34555036207605	0.0791500212985904	0	-1.81685877308563	-0.618042233511719
Pttg1ip	-0.118725031947887	1.38512537272535	2.96812579869717	0	1.81675943127247	0.618042233511719
Cd164	-0.118725031947887	1.26640034077746	2.6911007241521	0	1.81658588504496	0.618042233511719
Ywhag	-0.118725031947887	1.26640034077746	2.7306757348014	0	1.81572038283163	0.617871317785224
Eif3m	-2.96812579869717	-1.42470038337464	0.0791500212985904	0	-1.81541490797246	-0.617871317785224
Rgs2	-0.197875053246478	2.21620059636055	3.68047599038449	0	1.81515936628958	0.617871317785224
Susd2	-3.99707607557887	-2.13705057506196	0.197875053246478	0	-1.81483062211026	-0.617871317785224
Zfp276	-0.158300042597181	1.66215044727041	3.44302592648871	0	1.8147872498902	0.617871317785224
Dnahc1	-4.70942626726619	-3.00770080934646	0.237450063895775	0	-1.81474502342369	-0.617871317785224
Asah1	-0.118725031947887	1.26640034077746	2.77025074545069	0	1.81472860205047	0.617871317785224
D11Wsu99e	-0.118725031947887	1.22682533012817	2.65152571350281	0	1.81440022437251	0.617863871571892
r_B1F1	-0.118725031947887	1.34555036207605	2.80982575609999	0	1.81388703523758	0.617863871571892
Acaa2	-0.158300042597181	1.54342541532253	3.36387590519011	0	1.81307044464977	0.617863871571892
6230409E13Rik	-0.158300042597181	1.58300042597182	3.36387590519011	0	1.81284195425481	0.617863871571892
Pcbp4	-0.118725031947887	1.26640034077746	2.84940076674929	0	1.81253850981585	0.617863871571892
Rcn3	-0.118725031947887	1.26640034077746	2.77025074545069	0	1.81237054783181	0.617863871571892
Rnase4	-0.118725031947887	1.30597535142675	2.77025074545069	0	1.8121201246491	0.617863871571892
Jtb	-0.118725031947887	1.34555036207605	3.00770080934646	0	1.8119176438931	0.617863871571892
Atad2b	-0.197875053246478	3.04727581999576	5.65922652284926	0	1.81176706889575	0.617863871571892
Alg2	-0.118725031947887	1.34555036207605	3.08685083064506	0	1.81154295270505	0.617863871571892
Bst2	-3.04727581999576	-1.42470038337464	0.0791500212985904	0	-1.81148237996641	-0.617863871571892
Hras1	-0.118725031947887	1.26640034077746	2.7306757348014	0	1.81126289523594	0.617863871571892
Cdk14	-0.158300042597181	1.50385040467323	3.64090097973519	0	1.81117799438211	0.617863871571892
Atl3	-0.118725031947887	1.34555036207605	2.96812579869717	0	1.81100810943869	0.617863871571892
Reck	-0.158300042597181	1.50385040467323	3.28472588389153	0	1.8109370650961	0.617863871571892
1600027N09Rik	-0.197875053246478	1.97875053246478	3.20557586259294	0	1.81030026977908	0.617863871571892
Thrb	-0.197875053246478	2.01832554311408	3.28472588389153	0	1.81029345009859	0.617863871571892
Tyms	-3.28472588389154	-1.62257543662112	0.118725031947887	0	-1.81021839381588	-0.617863871571892
Fmn2	-3.72005100103379	-2.05790055376337	0.158300042597181	0	-1.80957818201656	-0.617824507697181
Fam129b	-0.118725031947887	1.26640034077746	2.92855078804787	0	1.80954506564155	0.617824507697181
Glt8d1	-0.158300042597181	1.50385040467323	3.20557586259294	0	1.80924905984634	0.617824507697181
Rpl36	-2.45365066025633	-1.18725031947887	0.0791500212985904	0	-1.80920009451823	-0.617824507697181
Tmem159	-0.118725031947887	1.30597535142675	3.32430089454081	0	1.80860527679365	0.617203299550154
Dctn6	-0.158300042597181	1.46427539402394	3.20557586259294	0	1.80755791444226	0.616848714991158
Ahcyl1	-0.118725031947887	1.38512537272535	2.96812579869717	0	1.80709395204367	0.616848714991158
Cox6b2	-2.77025074545069	-1.34555036207605	0.0791500212985904	0	-1.80665795345196	-0.616848714991158
Pfn1	-0.118725031947887	1.22682533012817	2.61195070285351	0	1.80653038938565	0.616848714991158
Mrpl24	-3.16600085194365	-1.46427539402394	0.118725031947887	0	-1.80631167847291	-0.616848714991158
Pdzrn3	-0.118725031947887	1.38512537272535	2.88897577739858	0	1.80625187445781	0.616848714991158
Tmem59	-0.118725031947887	1.30597535142675	2.84940076674929	0	1.80619922562311	0.616848714991158
2310001H12Rik	-3.44302592648871	-1.58300042597182	0.118725031947887	0	-1.80595361963102	-0.616848714991158
Dcaf4	-3.08685083064506	-1.50385040467323	0.118725031947887	0	-1.80565749426802	-0.616848714991158
Trip11	-0.118725031947887	1.26640034077746	2.7306757348014	0	1.80546984304924	0.616848714991158
Cacna2d1	-0.118725031947887	1.38512537272535	2.96812579869717	0	1.80545152624805	0.616848714991158
Map4k3	-0.158300042597181	1.58300042597182	3.40345091583941	0	1.80523697114382	0.616848714991158
Nfe2l1	-0.118725031947887	1.22682533012817	2.61195070285351	0	1.80501449629685	0.616848714991158
Pttg1	-0.158300042597181	1.66215044727041	3.5617509584366	0	1.80493535737609	0.616848714991158
Fkbp9	-0.118725031947887	1.26640034077746	2.7306757348014	0	1.80426006218351	0.616080940338569
Arhgef6	-0.197875053246478	1.89960051116619	3.44302592648871	0	1.80351563637198	0.615552710221331
Gm4535	-3.28472588389154	-1.58300042597182	0.118725031947887	0	-1.8034713933587	-0.615552710221331
Ppp1ca	-2.92855078804787	-1.54342541532253	0.118725031947887	0	-1.80310311642719	-0.615364269432917
Kdm5b	-0.158300042597181	1.50385040467323	3.16600085194365	0	1.80287254908016	0.615364269432917
Slain1	-4.23452613947462	-2.65152571350281	0.237450063895775	0	-1.80256658107452	-0.615352420897396
Akr1c14	-0.197875053246478	1.97875053246478	3.24515087324224	0	1.80233819990985	0.615352420897396
Ddx56	-4.35325117142251	-2.01832554311408	0.118725031947887	0	-1.80212607228077	-0.615352420897396
Piga	-4.5115512140197	-2.61195070285351	0.197875053246478	0	-1.80111077718735	-0.614745510413323
Mcm9	-4.03665108622817	-2.57237569220421	0.197875053246478	0	-1.80084604787122	-0.614745510413323
Golgb1	-0.158300042597181	1.54342541532253	3.44302592648871	0	1.80050583209909	0.614745510413323
Car8	-0.197875053246478	1.93917552181549	3.79920102233238	0	1.80048198885385	0.614745510413323
r_B1_Mur1	-0.158300042597181	1.42470038337464	2.96812579869717	0	1.79987914327389	0.614745510413323
Vasp	-0.118725031947887	1.18725031947887	2.53280068155492	0	1.79979630100752	0.614745510413323
r_L1M6	-3.75962601168309	-2.21620059636055	0.197875053246478	0	-1.79971558266971	-0.614745510413323
Snrnp200	-2.7306757348014	-1.30597535142675	0.0791500212985904	0	-1.79962617284641	-0.614745510413323
Zfp277	-3.04727581999576	-1.50385040467323	0.118725031947887	0	-1.79957361700539	-0.614745510413323
Gstm1	-2.88897577739858	-1.42470038337464	0.118725031947887	0	-1.79915610042263	-0.614728943607596
6820431F20Rik	-2.92855078804787	-1.38512537272535	0.118725031947887	0	-1.79893598336097	-0.614728943607596
Ip6k1	-0.158300042597181	1.58300042597182	3.68047599038449	0	1.79870610767232	0.614728943607596
r_MLT1A1	-0.118725031947887	1.18725031947887	2.6911007241521	0	1.79846541482887	0.614728943607596
Hpdl	-3.79920102233238	-2.33492562830844	0.197875053246478	0	-1.79833816284932	-0.614728943607596
Gan	-0.197875053246478	1.93917552181549	3.36387590519011	0	1.79759770889788	0.613979723132291
Tmem107	-3.32430089454081	-1.62257543662112	0.118725031947887	0	-1.79743009165262	-0.613979723132291
Dcaf5	-0.158300042597181	1.30597535142675	2.96812579869717	0	1.79713764299965	0.613894280072184
Asb4	-0.197875053246478	1.8204504898676	3.6013259690859	0	1.79560553743608	0.612445194318462
Acacb	-3.68047599038449	-2.21620059636055	0.197875053246478	0	-1.79551729703655	-0.612445194318462
Col23a1	-0.237450063895775	2.21620059636055	3.68047599038449	0	1.79519524869846	0.612445194318462
Rps15a	-0.118725031947887	1.18725031947887	2.53280068155492	0	1.79518468215032	0.612445194318462
4833418N02Rik	-0.197875053246478	1.97875053246478	3.44302592648871	0	1.7950273176834	0.612445194318462
1700088E04Rik	-0.197875053246478	1.93917552181549	3.16600085194365	0	1.7948621078907	0.612445194318462
Ddr2	-0.158300042597181	1.46427539402394	3.44302592648871	0	1.79421213984798	0.612204835896323
Gpnmb	-0.197875053246478	1.93917552181549	3.91792605428027	0	1.79403813269348	0.612204835896323
Pigw	-4.5907012353183	-2.41407564960703	0.277025074545068	0	-1.79399596945051	-0.612204835896323
Ppm1j	-3.28472588389154	-1.50385040467323	0.118725031947887	0	-1.79358095652414	-0.611898202315173
Uba6	-0.158300042597181	1.30597535142675	2.77025074545069	0	1.79277991042689	0.610900015173418
Plod2	-0.158300042597181	1.46427539402394	3.32430089454081	0	1.79195239149665	0.609854008856799
Hes2	-3.95750106492957	-2.41407564960703	0.237450063895775	0	-1.79090097901321	-0.609629452782309
Myl6b	-0.197875053246478	1.89960051116619	3.20557586259294	0	1.7907272680139	0.609629452782309
Zfp874	-3.5221759477873	-1.70172545791971	0.158300042597181	0	-1.79071323967735	-0.609629452782309
Srsf7	-3.04727581999576	-1.42470038337464	0.118725031947887	0	-1.7902894164861	-0.609629452782309
Prrx1	-0.158300042597181	1.66215044727041	3.75962601168309	0	1.79020596842522	0.609629452782309
Cno	-3.20557586259294	-1.50385040467323	0.118725031947887	0	-1.78998227487874	-0.609629452782309
Sec63	-0.158300042597181	1.42470038337464	3.08685083064506	0	1.78989841858888	0.609629452782309
5730403B10Rik	-0.158300042597181	1.38512537272535	3.00770080934646	0	1.78987240672	0.609629452782309
Kif2a	-0.158300042597181	1.30597535142675	2.88897577739858	0	1.7896385973964	0.609629452782309
